,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Player_name,Role,Total_runs,Strike_rate,Total_balls_faced,Total_wickets_taken,Total_runs_conceded,Total_overs_bowled,Total_matches_played,Matches_played_as_batter,Matches_played_as_bowler,Matches_won,Matches_lost,Player_of_match_awards,Team,Average
0,0,0,0,0,V Kohli,Batter,13784,91.70381212,15031,7,681,671,579,579,0,360,219,41,India,1969.142857
1,1,1,1,2,RG Sharma,Batter,10646,90.35817348,11782,11,538,614,577,577,0,358,219,23,India,967.8181818
2,2,2,2,3,MS Dhoni,Batter,10274,84.97932175,12090,1,32,38,575,575,0,356,219,20,India,10274.0
3,3,3,3,4,AB de Villiers,Batter,9435,99.44139966,9488,7,205,201,466,466,0,286,180,26,South Africa,1347.857143
4,4,4,4,5,TM Dilshan,Batter,9212,85.47833349,10777,97,4197,5141,510,510,0,237,273,24,Sri Lanka,94.96907216
5,5,5,5,7,DPMD Jayawardene,Batter,8040,78.57701329,10232,2,63,72,510,510,0,237,273,12,Sri Lanka,4020.0
6,6,6,6,10,MJ Guptill,Batter,7125,85.24766691,8358,4,100,116,444,444,0,231,213,22,New Zealand,1781.25
7,7,7,7,12,MJ Clarke,Batter,6988,76.83342496,9095,56,1868,2264,545,545,0,381,164,10,Australia,124.7857143
8,8,8,8,15,Yuvraj Singh,Batter,6868,85.45477168,8037,99,3438,4028,579,579,0,360,219,20,India,69.37373737
9,9,9,9,20,CH Gayle,Batter,6433,86.53483992,7434,112,3569,4517,427,427,0,165,262,13,West Indies,57.4375
10,10,10,10,21,SR Tendulkar,Batter,6432,84.55370054,7607,31,1420,1545,574,574,0,356,218,16,India,207.483871
11,11,11,11,22,Mohammad Hafeez,Batter,6351,76.08721696,8347,142,5081,7303,468,468,0,227,241,19,Pakistan,44.72535211
12,12,12,12,23,V Sehwag,Batter,5692,101.9340974,5584,58,2083,2475,574,574,0,356,218,15,India,98.13793103
13,13,13,13,25,AD Mathews,Batter,5646,81.42486299,6934,137,4068,5205,512,512,0,237,275,9,Sri Lanka,41.21167883
14,14,14,14,26,SK Raina,Batter,5585,90.85732878,6147,42,1832,2147,579,579,0,360,219,11,India,132.9761905
15,15,15,15,27,SPD Smith,Batter,5549,85.38236652,6499,29,985,1081,543,543,0,381,162,11,Australia,191.3448276
16,16,16,16,28,F du Plessis,Batter,5445,86.59351145,6288,2,191,197,470,470,0,290,180,9,South Africa,2722.5
17,17,17,17,29,SR Watson,Batter,5357,90.04874769,5949,162,4780,5690,544,544,0,381,163,15,Australia,33.06790123
18,18,18,18,30,IR Bell,Batter,5289,75.58953837,6997,6,89,92,518,518,0,295,223,9,England,881.5
19,19,19,19,31,AJ Finch,Batter,5188,84.56397718,6135,5,259,287,544,544,0,381,163,7,Australia,1037.6
20,20,20,20,33,BRM Taylor,Batter,5130,74.03665753,6929,4,279,262,277,277,0,66,211,4,Zimbabwe,1282.5
21,21,21,21,34,Mahmudullah,Batter,5127,75.45253863,6795,83,3605,4086,345,345,0,134,211,4,Bangladesh,61.77108434
22,22,22,22,35,MEK Hussey,Batter,5076,84.43113772,6012,4,237,249,545,545,0,381,164,11,Australia,1269.0
23,23,23,23,39,JP Duminy,Batter,4928,82.32542599,5986,74,3094,3460,470,470,0,290,180,7,South Africa,66.59459459
24,24,24,24,40,Younis Khan,Batter,4777,74.51255654,6411,1,217,222,469,469,0,227,242,10,Pakistan,4777.0
25,25,25,25,43,ST Jayasuriya,Batter,4402,92.13059858,4778,105,3194,4004,510,510,0,237,273,14,Sri Lanka,41.92380952
26,26,26,26,46,MN Samuels,Batter,4205,74.37212593,5654,66,2952,3692,426,426,0,165,261,12,West Indies,63.71212121
27,27,27,27,47,KP Pietersen,Batter,4202,84.20841683,4990,8,368,403,518,518,0,295,223,9,England,525.25
28,28,28,28,48,PD Collingwood,Batter,4132,75.1682736,5497,96,3444,4250,518,518,0,295,223,10,England,43.04166667
29,29,29,29,51,H Masakadza,Batter,3955,70.04959263,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,179.7727273
30,30,30,30,58,RR Sarwan,Batter,3717,72.27299242,5143,16,393,383,427,427,0,165,262,6,West Indies,232.3125
31,31,31,31,61,GJ Maxwell,Batter,3655,120.5872649,3031,78,3441,3812,544,544,0,381,163,11,Australia,46.85897436
32,32,32,32,63,MM Lanning,Batter,3555,89.20953576,3985,1,44,45,527,527,0,367,160,11,Australia,3555.0
33,33,33,33,64,S Mandhana,Batter,3526,87.99600699,4007,1,36,24,578,578,0,359,219,11,India,3526.0
34,34,34,34,65,Fakhar Zaman,Batter,3434,92.28701962,3721,1,112,135,461,461,0,222,239,9,Pakistan,3434.0
35,35,35,35,66,EA Perry,Batter,3356,78.22843823,4290,83,2352,3198,533,533,0,372,161,16,Australia,40.43373494
36,36,36,36,67,PR Stirling,Batter,3338,85.3490156,3911,26,1227,1485,164,164,0,60,104,7,Ireland,128.3846154
37,37,37,37,68,E Chigumbura,Batter,3266,77.11924439,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,37.11363636
38,38,38,38,69,SW Bates,Batter,3245,75.85320243,4278,25,1098,1326,433,433,0,225,208,6,New Zealand,129.8
39,39,39,39,71,HDRL Thirimanne,Batter,3164,71.19711971,4444,3,94,107,506,506,0,236,270,2,Sri Lanka,1054.666667
40,40,40,40,72,HC Knight,Batter,3158,75.10107015,4205,48,1020,1392,507,507,0,291,216,8,England,65.79166667
41,41,41,41,80,AE Satterthwaite,Batter,2895,80.01658375,3618,29,839,1060,433,433,0,225,208,5,New Zealand,99.82758621
42,42,42,42,83,IJL Trott,Batter,2819,75.53590568,3732,3,174,185,505,505,0,289,216,3,England,939.6666667
43,43,43,43,84,SFM Devine,Batter,2796,87.53913588,3194,55,1914,2489,433,433,0,225,208,8,New Zealand,50.83636364
44,44,44,44,85,Mohammad Yousuf,Batter,2783,74.39187383,3741,1,0,1,458,458,0,221,237,2,Pakistan,2783.0
45,45,45,45,87,MR Marsh,Batter,2762,93.53200135,2953,57,2047,2257,543,543,0,381,162,8,Australia,48.45614035
46,46,46,46,89,DJ Bravo,Batter,2760,78.72219053,3506,193,5330,6052,427,427,0,165,262,9,West Indies,14.30051813
47,47,47,47,90,AC Jayangani,Batter,2760,77.98813224,3539,34,1295,1421,497,497,0,231,266,8,Sri Lanka,81.17647059
48,48,48,48,93,RS Bopara,Batter,2689,76.39204545,3520,41,1546,1858,509,509,0,291,218,5,England,65.58536585
49,49,49,49,95,TM Head,Batter,2645,102.202473,2588,25,1062,1117,543,543,0,381,162,7,Australia,105.8
50,50,50,50,98,KA Pollard,Batter,2608,90.64998262,2877,59,2086,2226,429,429,0,165,264,4,West Indies,44.20338983
51,51,51,51,99,Ahmed Shehzad,Batter,2555,70.52166713,3623,2,140,116,466,466,0,225,241,6,Pakistan,1277.5
52,52,52,52,100,L Lee,Batter,2516,82.6544021,3044,2,56,86,471,471,0,290,181,6,South Africa,1258.0
53,53,53,53,101,A Balbirnie,Batter,2438,74.21613394,3285,1,31,24,163,163,0,59,104,4,Ireland,2438.0
54,54,54,54,103,SC Ganguly,Batter,2409,70.25371829,3429,22,864,1015,573,573,0,356,217,5,India,109.5
55,55,55,55,105,HE van der Dussen,Batter,2388,85.10334996,2806,1,3,6,472,472,0,291,181,3,South Africa,2388.0
56,56,56,56,108,Abdul Razzaq,Batter,2327,86.53774637,2689,110,3694,4518,464,464,0,224,240,9,Pakistan,21.15454545
57,57,57,57,109,HK Matthews,Batter,2327,75.16149871,3096,83,2210,3025,428,428,0,165,263,10,West Indies,28.03614458
58,58,58,58,110,RD Berrington,Batter,2292,74.36729396,3082,15,647,762,101,101,0,54,47,4,Scotland,152.8
59,59,59,59,112,KJ Coetzer,Batter,2280,80.67940552,2826,1,132,169,101,101,0,54,47,3,Scotland,2280.0
60,60,60,60,113,MM Ali,Batter,2278,94.21009098,2418,119,5303,5935,519,519,0,295,224,5,England,19.14285714
61,61,61,61,116,DR Martyn,Batter,2239,75.38720539,2970,1,78,90,540,540,0,378,162,5,Australia,2239.0
62,62,62,62,117,M du Preez,Batter,2223,69.59924859,3194,1,22,18,471,471,0,290,181,7,South Africa,2223.0
63,63,63,63,118,M Kapp,Batter,2195,85.30897785,2573,133,3154,4729,471,471,0,290,181,8,South Africa,16.5037594
64,64,64,64,121,JO Holder,Batter,2144,88.19415878,2431,162,5712,6205,429,429,0,165,264,5,West Indies,13.2345679
65,65,65,65,123,V Sibanda,Batter,2125,61.29218344,3467,4,267,276,276,276,0,66,210,2,Zimbabwe,531.25
66,66,66,66,125,A Flintoff,Batter,2096,88.58833474,2366,132,2682,3784,509,509,0,291,218,9,England,15.87878788
